Año,Trimestre,Provincia,Accesos telefonía fija (total)
2017,4,Mendoza,381118
2017,4,Misiones,115189
2017,4,Neuquén,101846
2017,4,Río Negro,145598
2017,4,Salta,139346
2017,4,San Juan,114113
2017,4,San Luis,53797
2017,4,Santa Cruz,47233
2017,4,Santa Fe,742944
2017,4,Santiago del Estero,64481
2017,4,Tierra del Fuego,38952
2017,4,Tucumán,211561
2017,3,Buenos Aires,4780187
2017,3,Capital Federal,1605054
2017,3,Catamarca,38840
2017,3,Chaco,102824
2017,3,Chubut,118225
2017,3,Córdoba,704433
2017,3,Corrientes,102558
2017,3,Entre Ríos,224703
2017,3,Formosa,41233
2017,3,Jujuy,56581
2017,3,La Pampa,82810
2017,3,La Rioja,38014
2017,3,Mendoza,377803
2017,3,Misiones,110690
2017,3,Neuquén,101751
2017,3,Río Negro,143888
2017,3,Salta,139723
2017,3,San Juan,112398
2017,3,San Luis,53793
2017,3,Santa Cruz,44728
2017,3,Santa Fe,739999
2017,3,Santiago del Estero,65541
2017,3,Tierra del Fuego,38815
2017,3,Tucumán,211547
2017,2,Buenos Aires,4916108
2017,2,Capital Federal,1580199
2017,2,Catamarca,38551
2017,2,Chaco,103002
2017,2,Chubut,115321
2017,2,Córdoba,703322
2017,2,Corrientes,102444
2017,2,Entre Ríos,225017
2017,2,Formosa,40743
2017,2,Jujuy,56381
2017,2,La Pampa,81939
2017,2,La Rioja,37869
2017,2,Mendoza,370071
2017,2,Misiones,110533
2017,2,Neuquén,98956
2017,2,Río Negro,141053
2017,2,Salta,139208
2017,2,San Juan,107299
2017,2,San Luis,53178
2017,2,Santa Cruz,44254
2017,2,Santa Fe,741843
2017,2,Santiago del Estero,66024
2017,2,Tierra del Fuego,37976
2017,2,Tucumán,210228
2017,1,Buenos Aires,4872542
2017,1,Capital Federal,1608800
2017,1,Catamarca,38665
2017,1,Chaco,102077
2017,1,Chubut,122592
2017,1,Córdoba,702744
2017,1,Corrientes,102049
2017,1,Entre Ríos,223126
2017,1,Formosa,41139
2017,1,Jujuy,56418
2017,1,La Pampa,83364
2017,1,La Rioja,37770
2017,1,Mendoza,381118
2017,1,Misiones,115189
2017,1,Neuquén,101846
2017,1,Río Negro,145598
2017,1,Salta,139346
2017,1,San Juan,114113
2017,1,San Luis,53797
2017,1,Santa Cruz,47233
2017,1,Santa Fe,741856
2017,1,Santiago del Estero,64481
2017,1,Tierra del Fuego,38952
2017,1,Tucumán,211561
2016,4,Buenos Aires,4881863
2016,4,Capital Federal,1618260
2016,4,Catamarca,38665
2016,4,Chaco,102077
2016,4,Chubut,122592
2016,4,Córdoba,704306
2016,4,Corrientes,102049
2016,4,Entre Ríos,223126
2016,4,Formosa,41139
2016,4,Jujuy,56418
2016,4,La Pampa,83364
2016,4,La Rioja,37770
2016,4,Mendoza,381118
2016,4,Misiones,115189
2016,4,Neuquén,101846
2016,4,Río Negro,145598
2016,4,Salta,139346
2016,4,San Juan,114113
2016,4,San Luis,53797
2016,4,Santa Cruz,47233
2016,4,Santa Fe,742944
2016,4,Santiago del Estero,64481
2016,4,Tierra del Fuego,38952
2016,4,Tucumán,211561
2016,3,Buenos Aires,4780187
2016,3,Capital Federal,1605054
2016,3,Catamarca,38840
2016,3,Chaco,102824
2016,3,Chubut,118225
2016,3,Córdoba,704433
2016,3,Corrientes,102558
2016,3,Entre Ríos,224703
2016,3,Formosa,41233
2016,3,Jujuy,56581
2016,3,La Pampa,82810
2016,3,La Rioja,38014
2016,3,Mendoza,377803
2016,3,Misiones,110690
2016,3,Neuquén,101751
2016,3,Río Negro,143888
2016,3,Salta,139723
2016,3,San Juan,112398
2016,3,San Luis,53793
2016,3,Santa Cruz,44728
2016,3,Santa Fe,739999
2016,3,Santiago del Estero,65541
2016,3,Tierra del Fuego,38815
2016,3,Tucumán,211547
2016,2,Buenos Aires,4916108
2016,2,Capital Federal,1580199
2016,2,Catamarca,38551
2016,2,Chaco,103002
2016,2,Chubut,115321
2016,2,Córdoba,703322
2016,2,Corrientes,102444
2016,2,Entre Ríos,225017
